uid,nombre_de_la_entidad,departamento_entidad,orden_entidad,modalidad,causal_contratacion_directa,objeto_a_contratar,detalle_objeto,cuantia_proceso,cuantia_contrato,valor_total_de_adiciones,valor_contrato_con_adiciones,anno_firma,fecha_firma,fecha_ini_ejec_contrato,plazo_de_ejec_del_contrato,rango_de_ejec_del_contrato,tiempo_adiciones_en_dias,tiempo_adiciones_en_meses,fecha_fin_ejec_contrato,id_adjudicacion,urlproceso,nit_de_la_entidad,identificacion_del_contratista,dpto_y_muni_contratista,municipio_entidad,nom_razon_social_contratista,estado_del_proceso
15-4-4221275-3896250,LA GUAJIRA - ALCALDIA MUNICIPIO DE BARRANCAS,LA GUAJIRA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,REGIMEN ESPECIAL,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO Y ADECUACION DE LAS VIAS EXISTENTES EN LA ZONA RURAL AREA DENOMINADA PUNTO CLARO EN EL MUNICIPIO DE BARRANCAS LA GUAJIRA,51960000,51960000,0,51960000,2015,2015-04-28T00:00:00.000,2015-05-12T00:00:00.000,2,M,0,0,2015-07-12T00:00:00.000,3896250,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-4-4221275'},800099223-3,900514557-1,LA GUAJIRA,BARRANCAS,ASOCIACION DE CAFICULTORES DE BARRANCAS,LIQUIDADO
15-11-4173928-3984265,SANTANDER - ALCALDIA MUNICIPIO DE PIEDECUESTA,SANTANDER,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LAS VIAS TERCIARIAS DE LA VEREDA EL MANSITO; EL GUAMO PEQUENO Y LA CUCHILLA; MEDIANTE LA CONSTRUCCION DE PLACA HUELLAS VEHICULARES Y ESTRUCTURAS DE DRENAJE; EN EL MUNICIPIO DE PIEDECUESTA; DEPARTAMENTO DE SANTANDER,149999947,149999946,0,149999946,2015,2015-10-19T00:00:00.000,2015-10-19T00:00:00.000,2,M,0,0,2015-12-19T00:00:00.000,3984265,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-4173928'},817000992-5,9008974759,SANTANDER,PIEDECUESTA,UNION TEMPORAL  HUELLAS  2015,LIQUIDADO
21-11-12612688-12021477,CUNDINAMARCA - ALCALDIA MUNICIPIO DE FOSCA,CUNDINAMARCA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA QUE COMUNICA DESDE EL PUENTE DEL RIO SANAME A LA VEREDA LA PALMA; SECTOR CHATO EN EL MUNICIPIO DE FOSCA; DEL DEPARTAMENTO DE CUNDINAMARCA,150000000,142967967,0,142967967,2022,2022-03-17T00:00:00.000,2022-07-01T00:00:00.000,8,M,0,0,2023-03-01T00:00:00.000,12021477,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12612688'},899999420,901089904,CUNDINAMARCA,FOSCA,CONTRUCTORA PG S.A.S,LIQUIDADO
20-11-10445399-9709897,BOYACA - ALCALDIA MUNICIPIO DE PACHAVITA,BOYACA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO Y MEJORAMIENTO VIAS VEREDALES EN MUNICIPIO DE PACHAVITA.,162103043,162084746,75000000,237084746,2020,2020-03-10T00:00:00.000,2020-04-01T00:00:00.000,3,M,45,0,2020-08-01T00:00:00.000,9709897,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-10445399'},800028461,900485495,BOYACA,PACHAVITA,"SAGA S.A.S, CONSTRUIMOS EL FUTURO",LIQUIDADO
20-21-20342-10910037,BOYACA - ALCALDIA MUNICIPIO DE CHIVATA,BOYACA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,LICITACION OBRA PUBLICA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA AVENIDA JIMENEZ - PONTEZUELAS; VEREDA PONTEZUELAS; MUNICIPIO DE CHIVATA - DEPARTAMENTO DE BOYACA,467516765,441787828,158201644,599989472,2021,2021-03-08T00:00:00.000,2021-03-11T00:00:00.000,1,M,0,1,2021-05-11T00:00:00.000,10910037,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20342'},800014989-1,901451682,BOYACA,CHIVATA,UNION TEMPORAL CHIVATA 2020,LIQUIDADO
22-13-12893871-11958803,NORTE DE SANTANDER - ALCALDIA MUNICIPIO DE ABREGO,NORTE DE SANTANDER,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 3,CONTRATACION MINIMA CUANTIA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO Y MEJORAMIENTO DE LAS VIAS TERCIARIAS DE LAS VEREDAS LLANO DEL POZO; HARAGANAZO; EL CASTILLO; EL CHORRO Y EL TIGRE DEL MUNICIPIO DE ABREGO NORTE DE SANTANDER,27990806,23508500,11590625,35099125,2022,2022-02-18T00:00:00.000,2022-02-18T00:00:00.000,2,M,0,0,2022-04-18T00:00:00.000,11958803,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-13-12893871'},890981195-5,9009652722,SANTANDER,ABREGO,ISMACOM S.A.S  NIT: 900965272-2 REPRESENTADA LEGALMENTE POR JORGE ARMANDO CASTRO IDENTIFICADO CON CE,LIQUIDADO
18-13-8103258-7438479,BOLIVAR - ALCALDIA MUNICIPIO DE MORALES,BOLIVAR,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,CONTRATACION MINIMA CUANTIA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",AMPLIACION DE UN TRAMO DE LA VIA MORALES - PUERTO BOLIVAR; EN LA VEREDA EL PORVENIR; MUNICIPIO DE MORALES - BOLIVAR,21000000,20998752,0,20998752,2018,2018-05-30T00:00:00.000,2018-06-01T00:00:00.000,15,D,0,0,2018-06-16T00:00:00.000,7438479,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-13-8103258'},800096734-1,1091661796,CESAR,MORALES,CARLOS EMILIO ABUABARA VEGA,LIQUIDADO
19-13-9122812-8339063,GUAVIARE - ALCALDIA MUNICIPIO DE MIRAFLORES,GUAVIARE,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,CONTRATACION MINIMA CUANTIA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO DE LA VIA QUE CONDUCE DESDE LA VEREDA LA ESPERANZA HASTA YARUMAL EN EL MUNICIPIO DE MIRAFLORES GUAVIARE,22971967,20544333,0,20544333,2019,2019-03-13T00:00:00.000,2019-03-13T00:00:00.000,15,D,0,0,2019-03-28T00:00:00.000,8339063,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-13-9122812'},800103198,74856791,GUAVIARE,MIRAFLORES,ALDEMAR HERMANDEZ FLOREZ,LIQUIDADO
18-1-190669-7618772,SANTANDER - ALCALDIA MUNICIPIO DE BUCARAMANGA,SANTANDER,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,LICITACION PUBLICA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION DE PLACA HUELLAS Y REPOSICION DE PAVIMENTO RIGIDO EN LOS DIFERENTES CORREGIMIENTOS QUE COMPRENDE LA MALLA VIAL DEL MUNICIPIO DE BUCARAMANG,1277358628,1250571151,400000000,1650571151,2018,2018-07-10T00:00:00.000,2018-08-27T00:00:00.000,3,M,30,0,2018-12-27T00:00:00.000,7618772,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-190669'},890201222,901193544,SANTANDER,BUCARAMANGA,CONSORCIO VARGAS NP INGENIERIA,LIQUIDADO
20-11-11298771-10851387,PUTUMAYO - ALCALDIA MUNICIPIO DE SAN MIGUEL DE LA DORADA,PUTUMAYO,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO DE VIA ACCESO VEREDA EL CHIGUACO Y EL YARINAL  DEL MUNICIPIO DE SAN MIGUEL PUTUMAYO,59716555,59576835,0,59576835,2020,2020-12-14T00:00:00.000,2020-12-16T00:00:00.000,1,M,0,0,2021-01-16T00:00:00.000,10851387,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-11-11298771'},800252922,900595410,PUTUMAYO,SAN MIGUEL (LA DORADA),CIVIL WORKS SERVICES S.A.S.,LIQUIDADO
15-1-149891-4197228,CORDOBA - ALCALDIA MUNICIPIO DE SAHAGUN,CORDOBA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,LICITACION PUBLICA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION DE OBRAS DE DRENAJE EN LA VIA DE LAS BOCAS A LOMA SECA; LAS BOCAS A LOS ROSALES EN LA ZONA RURAL DEL MUNICIPIO DE SAHAGUN.,314999661,314985856,0,314985856,2015,2015-11-26T00:00:00.000,2015-12-10T00:00:00.000,4,M,0,0,2016-04-10T00:00:00.000,4197228,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-1-149891'},800096777,900439644-3,CORDOBA,SAHAGUN,BULA CONSTRUCCIONES S.A.S,LIQUIDADO
15-11-3963387-4128013,SANTANDER - ALCALDIA MUNICIPIO DE SUCRE,SANTANDER,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONSTRUCCION PLACA HUELLA VIA DE ACCESO AL CORREGIMIENTO LA GRANJA DEL MUNICIPIO DE SUCRE SANTANDER,40000000,26000000,0,26000000,2015,2015-07-10T00:00:00.000,2015-07-23T00:00:00.000,30,D,0,0,2015-08-22T00:00:00.000,4128013,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3963387'},890210883-7,13826536,SANTANDER,SUCRE,JAVIER JOSE PEREIRA AREIZA,LIQUIDADO
15-11-3913923-3794831,ANTIOQUIA - ALCALDIA MUNICIPIO DE RIONEGRO,ANTIOQUIA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",PAVIMENTACION EN CONCRETO RIGIDO Y OBRAS COMPLEMENTARIAS EN EL SECTOR ALTO BONITO ZONA RURAL DEL MUNICIPIO DE RIONEGRO ANTIOQUIA,289381904,288881726,144440863,433322589,2015,2015-07-13T00:00:00.000,2015-07-27T00:00:00.000,2,M,0,1,2015-10-27T00:00:00.000,3794831,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-11-3913923'},890204646-3,900434281-0,ANTIOQUIA,RIONEGRO,CONSTRUCCIONES SEGURAS S.A.S,LIQUIDADO
19-13-10158652-9466827,ANTIOQUIA - ALCALDIA MUNICIPIO DE NECOCLI,ANTIOQUIA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,CONTRATACION MINIMA CUANTIA,NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO DE LA INFRAESTRUCTURA FISICA DE LA ESCUELA  RURAL LA JOBA DEL MUNICIPIO DE NECOCLI,23100000,23100000,0,23100000,2019,2019-12-09T00:00:00.000,2019-12-12T00:00:00.000,30,D,0,0,2020-01-11T00:00:00.000,9466827,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-13-10158652'},890985354-8,1088324010,ANTIOQUIA,NECOCLI,LUISA  FERNANDA  SANCHEZ AGUIRRE,LIQUIDADO
21-11-12527508-11914984,CUNDINAMARCA - ALCALDIA MUNICIPIO DE TABIO,CUNDINAMARCA,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MEJORAMIENTO DE LA VIA QUE CONDUCE DE EL BOTE A GOLPE DE AGUA EN LA VEREDA RIO FRIO OCCIDENTAL Y EL MEJORAMIENTO DE LA VIA QUE CONDUCE DE SANTA RITA AL MIRADOR LOS TANQUES EN LA VEREDA RIO FRIO ORIENTAL DEL MUNICIPIO DE TABIO; DEL DEPARTAMENTO DE CUNDINAMARCA,210000000,204647819,0,204647819,2021,2021-12-30T00:00:00.000,2022-02-01T00:00:00.000,3,M,0,0,2022-05-01T00:00:00.000,11914984,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12527508'},800028576-4,900702893,BOGOTA D.C.,TABIO,CONTECOR SAS,LIQUIDADO
15-12-3959266-3675642,SANTANDER - ALCALDIA MUNICIPIO DE PIEDECUESTA,SANTANDER,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 4,CONTRATACION DIRECTA (LEY 1150 DE 2007),PRESTACION DE SERVICIOS PROFESIONALES Y DE APOYO A LA GESTION (LITERAL H),"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",MANTENIMIENTO Y MEJORAMIENTO DE  LA VIA EN LAS ROSAS DE LA VEREDA FALTRIQUERAS DEL MUNICIPIO DE PIEDECUESTA SANARNDER,23324600,23324600,0,23324600,2015,2015-06-22T00:00:00.000,2015-06-22T00:00:00.000,2,M,0,0,2015-08-22T00:00:00.000,3675642,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=15-12-3959266'},817000992-5,9003981420,SANTANDER,PIEDECUESTA,JUNTA DE ACCION COMUNAL LAS ROSAS DE LA VEREDA FALTRIQUERA,LIQUIDADO
21-11-12522290-11711976,CALDAS - ALCALDIA MUNICIPIO DE PACORA,CALDAS,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,SELECCION ABREVIADA DE MENOR CUANTIA (LEY 1150 DE 2007),NO DEFINIDO,"TERRENOS, EDIFICIOS, ESTRUCTURAS Y VIAS",CONTRATAR A TODO COSTO LA CONSTRUCION DE PLACA HUELLA EN EL MUNICIPIO DE PACORA,199998466,199018467,0,199018467,2021,2021-12-23T00:00:00.000,2021-12-23T00:00:00.000,8,D,0,5,2022-05-30T00:00:00.000,11711976,{'url': 'https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-11-12522290'},899999475-4,900359695,CALDAS,PACORA,INNOVA PROYECTOS SAS,LIQUIDADO
